regime,baseline_regime,masking_pct,B_degraded_optical,C_fusion,D_sar_only,ed_mean,ed_std,ed_minus_B,ed_minus_C,ed_residual_mean,ed_residual_std,ed_residual_minus_B,ed_residual_minus_C
ed_r1,clean,0,0.7015,0.6916,0.6087,0.7136,0.0059,0.0121,0.022,,,,
ed_r1,clean,20,0.6181,0.6738,0.6087,0.6644,0.0132,0.0463,-0.0094,,,,
ed_r1,clean,40,0.5519,0.6438,0.6087,0.6259,0.0227,0.074,-0.0179,,,,
ed_r1,clean,60,0.4329,0.6068,0.6087,0.5883,0.0316,0.1554,-0.0185,,,,
ed_r1,clean,80,0.2835,0.5501,0.6087,0.487,0.0337,0.2035,-0.0631,,,,
ed_r1,clean,100,0.0093,0.3768,0.6087,0.0802,0.0497,0.0709,-0.2966,,,,
ed_r2,degraded,0,0.6902,0.6771,0.611,0.6932,0.0062,0.003,0.0161,0.6983,0.0048,0.0081,0.0212
ed_r2,degraded,20,0.6829,0.6706,0.611,0.686,0.0047,0.0031,0.0154,0.6909,0.0064,0.008,0.0203
ed_r2,degraded,40,0.6734,0.6667,0.611,0.6802,0.0041,0.0068,0.0135,0.6813,0.0083,0.0079,0.0146
ed_r2,degraded,60,0.6573,0.6595,0.611,0.6689,0.0006,0.0116,0.0094,0.665,0.0074,0.0077,0.0055
ed_r2,degraded,80,0.603,0.6403,0.611,0.6343,0.0057,0.0313,-0.006,0.6123,0.0151,0.0093,-0.028
ed_r2,degraded,100,0.0093,0.4642,0.611,0.1839,0.0742,0.1746,-0.2803,0.0093,0.0,0.0,-0.4549
