arm,seed,test_level,macro_f1
B,0,0.0,0.695748236239923
B,0,0.2,0.6853587088290806
B,0,0.4,0.6779872656617024
B,0,0.6,0.6558577800349934
B,0,0.8,0.6085541427636567
B,0,1.0,0.0093034446805951
C,0,0.0,0.6787169339809543
C,0,0.2,0.668565863568747
C,0,0.4,0.6673136583627394
C,0,0.6,0.6593707272933432
C,0,0.8,0.6404035835113236
C,0,1.0,0.46472997549067324
ED,0,0.0,0.6955207509614832
ED,0,0.2,0.6857516553951836
ED,0,0.4,0.6809672360912346
ED,0,0.6,0.6724452948138459
ED,0,0.8,0.6446363243553861
ED,0,1.0,0.19314779898255974
B,1,0.0,0.6755761465328468
B,1,0.2,0.6662333218100662
B,1,0.4,0.6516245003020995
B,1,0.6,0.6331034076236559
B,1,0.8,0.5743726715224288
B,1,1.0,0.0093034446805951
C,1,0.0,0.669587615306292
C,1,0.2,0.6641496535267692
C,1,0.4,0.6610051712747735
C,1,0.6,0.6566117461890785
C,1,0.8,0.6354691382466854
C,1,1.0,0.5012536913765272
ED,1,0.0,0.6961829811700205
ED,1,0.2,0.6941827856080528
ED,1,0.4,0.6871931638477741
ED,1,0.6,0.6742541533095782
ED,1,0.8,0.6338902692636389
ED,1,1.0,0.15669958463253375
B,2,0.0,0.6886284786254279
B,2,0.2,0.6803946937080391
B,2,0.4,0.6716281581578986
B,2,0.6,0.654017184806719
B,2,0.8,0.5954709388145724
B,2,1.0,0.0093034446805951
C,2,0.0,0.6804231852024215
C,2,0.2,0.6705573976046109
C,2,0.4,0.6688120218262286
C,2,0.6,0.6627826923502332
C,2,0.8,0.6481675243230467
C,2,1.0,0.46118043845975976
ED,2,0.0,0.6965841323750473
ED,2,0.2,0.6898107148707316
ED,2,0.4,0.6816012479190549
ED,2,0.6,0.6735138032041995
ED,2,0.8,0.6460671472213442
ED,2,1.0,0.20328773643082296
B,3,0.0,0.6933158834831713
B,3,0.2,0.6848485661128632
B,3,0.4,0.6759870361277917
B,3,0.6,0.6521652968225554
B,3,0.8,0.5925451132176749
B,3,1.0,0.0093034446805951
C,3,0.0,0.6679555353820021
C,3,0.2,0.6611423357576498
C,3,0.4,0.658314455606501
C,3,0.6,0.6499026142940791
C,3,0.8,0.6359653226962431
C,3,1.0,0.4673385439720987
ED,3,0.0,0.702019117761671
ED,3,0.2,0.6898498914191662
ED,3,0.4,0.6866668619110271
ED,3,0.6,0.674503600788838
ED,3,0.8,0.6449226318654494
ED,3,1.0,0.16306902006307705
B,4,0.0,0.6916120278486569
B,4,0.2,0.6827004059715415
B,4,0.4,0.6712077201765901
B,4,0.6,0.6508772547705242
B,4,0.8,0.6042249793912189
B,4,1.0,0.07489847372287527
C,4,0.0,0.6688079132533551
C,4,0.2,0.6608987953105864
C,4,0.4,0.6584065551804785
C,4,0.6,0.6522021650227134
C,4,0.8,0.636441211581436
C,4,1.0,0.47462851005521034
ED,4,0.0,0.6827299370910473
ED,4,0.2,0.675023943417507
ED,4,0.4,0.6695413115397438
ED,4,0.6,0.6600678721910427
ED,4,0.8,0.6293959577865013
ED,4,1.0,0.20065848931293076
B,5,0.0,0.6915619180149633
B,5,0.2,0.6810145329410923
B,5,0.4,0.6724323465513785
B,5,0.6,0.6551894441035802
B,5,0.8,0.6025790582084571
B,5,1.0,0.0093034446805951
C,5,0.0,0.6535708682479429
C,5,0.2,0.6463232534648565
C,5,0.4,0.6443121517895763
C,5,0.6,0.6362603337019711
C,5,0.8,0.6209212509964007
C,5,1.0,0.4904294133240473
ED,5,0.0,0.6943968932059582
ED,5,0.2,0.6870839254652883
ED,5,0.4,0.6829925816732202
ED,5,0.6,0.6735960865467583
ED,5,0.8,0.6412236105951119
ED,5,1.0,0.1868099794861214
B,6,0.0,0.6716406063767009
B,6,0.2,0.6620330068851231
B,6,0.4,0.6559372574592626
B,6,0.6,0.6388060053242458
B,6,0.8,0.571527661848418
B,6,1.0,0.0093034446805951
C,6,0.0,0.6705269537098482
C,6,0.2,0.6623864475640684
C,6,0.4,0.6582675125795908
C,6,0.6,0.6519166428425831
C,6,0.8,0.6382198360877432
C,6,1.0,0.4593643367016826
ED,6,0.0,0.6893389754140643
ED,6,0.2,0.6764406060326327
ED,6,0.4,0.6754339379065999
ED,6,0.6,0.6609554860863169
ED,6,0.8,0.6276282027000637
ED,6,1.0,0.08926951165188957
B,7,0.0,0.6885882297168856
B,7,0.2,0.6771885748325569
B,7,0.4,0.668194125971549
B,7,0.6,0.6535064524170184
B,7,0.8,0.6016394731785082
B,7,1.0,0.0093034446805951
C,7,0.0,0.6659643729306158
C,7,0.2,0.6566875076710322
C,7,0.4,0.6534222156037832
C,7,0.6,0.6460903335695997
C,7,0.8,0.6257531189331238
C,7,1.0,0.5190763747022029
ED,7,0.0,0.6817941384640143
ED,7,0.2,0.6700612171655808
ED,7,0.4,0.6666915173647282
ED,7,0.6,0.658168451631162
ED,7,0.8,0.6219409326036961
ED,7,1.0,0.21048343907389266
B,8,0.0,0.6621262966396944
B,8,0.2,0.6479809513024221
B,8,0.4,0.6380693132075163
B,8,0.6,0.6123040831658317
B,8,0.8,0.550656500450336
B,8,1.0,0.0093034446805951
C,8,0.0,0.6463437875838949
C,8,0.2,0.636313602559955
C,8,0.4,0.6344413042860975
C,8,0.6,0.629007035447673
C,8,0.8,0.6210248715993538
C,8,1.0,0.5333848644405175
ED,8,0.0,0.6879302311763319
ED,8,0.2,0.6765781700085379
ED,8,0.4,0.6679582161301343
ED,8,0.6,0.6578484151812637
ED,8,0.8,0.6215501062291576
ED,8,1.0,0.23724812267173034
B,9,0.0,0.6842338863867883
B,9,0.2,0.6706827083797416
B,9,0.4,0.6591914292291969
B,9,0.6,0.6415120581127481
B,9,0.8,0.5827440961612834
B,9,1.0,0.0093034446805951
C,9,0.0,0.6790231493417429
C,9,0.2,0.6727124799914952
C,9,0.4,0.6643422264785448
C,9,0.6,0.6612552078649016
C,9,0.8,0.6387246971921239
C,9,1.0,0.5228240297103994
ED,9,0.0,0.6947821265966361
ED,9,0.2,0.6846335481115335
ED,9,0.4,0.6794756367776092
ED,9,0.6,0.6671842065235343
ED,9,0.8,0.6420962051619725
ED,9,1.0,0.2028891960474521
