variant,regime,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
ed,ed_r1,0,0.0,Arable land,883,0.7735849056603774,0.7893544733861835,0.781390134529148,0.8666331626738226,697,204,186,1064
ed,ed_r1,0,0.0,Broad-leaved forest,511,0.5267489711934157,0.5009784735812133,0.5135406218655968,0.5346688416859897,256,230,255,1410
ed,ed_r1,0,0.0,Complex cultivation patterns,1172,0.8225659690627843,0.7713310580204779,0.7961250550418318,0.8688512854852981,904,195,268,784
ed,ed_r1,0,0.0,Coniferous forest,1193,0.8727429062768701,0.8507963118189439,0.8616298811544991,0.9489836696750286,1015,148,178,810
ed,ed_r1,0,0.0,Inland waters,379,0.8621908127208481,0.6437994722955145,0.7371601208459214,0.8497914807505756,244,39,135,1733
ed,ed_r1,0,0.0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7214285714285714,0.7098393574297188,0.7155870445344129,0.7940142683281675,707,273,289,882
ed,ed_r1,0,0.0,Marine waters,116,0.9666666666666667,1.0,0.9830508474576272,0.9999999999999999,116,4,0,2031
ed,ed_r1,0,0.0,Mixed forest,1214,0.724376731301939,0.8616144975288303,0.7870579382994732,0.8363223726748205,1046,398,168,539
ed,ed_r1,0,0.0,Pastures,916,0.7941653160453809,0.5349344978165939,0.639269406392694,0.7870127935655606,490,127,426,1108
ed,ed_r1,0,0.0,"Transitional woodland, shrub",885,0.5765877957658779,0.5231638418079096,0.5485781990521327,0.5913451145184486,463,340,422,926
ed,ed_r1,0,0.0,Urban fabric,265,0.6973684210526315,0.4,0.5083932853717026,0.6086551695103075,106,46,159,1840
ed,ed_r1,0,0.2,Arable land,883,0.7125119388729704,0.8448471121177803,0.7730569948186529,0.8481502173705333,746,301,137,967
ed,ed_r1,0,0.2,Broad-leaved forest,511,0.5786350148367952,0.3816046966731898,0.45990566037735847,0.5270915516170331,195,142,316,1498
ed,ed_r1,0,0.2,Complex cultivation patterns,1172,0.8036036036036036,0.7610921501706485,0.7817703768624014,0.8582525442248277,892,218,280,761
ed,ed_r1,0,0.2,Coniferous forest,1193,0.7659137577002053,0.9379715004191115,0.8432554634513941,0.9420600765707062,1119,342,74,616
ed,ed_r1,0,0.2,Inland waters,379,0.2675438596491228,0.9656992084432717,0.41900400686891814,0.7749419647061477,366,1002,13,770
ed,ed_r1,0,0.2,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7472035794183445,0.6706827309236948,0.7068783068783069,0.7877921228213067,668,226,328,929
ed,ed_r1,0,0.2,Marine waters,116,0.9666666666666667,1.0,0.9830508474576272,0.9999999999999998,116,4,0,2031
ed,ed_r1,0,0.2,Mixed forest,1214,0.6938650306748466,0.9316309719934102,0.7953586497890295,0.8351592773260765,1131,499,83,438
ed,ed_r1,0,0.2,Pastures,916,0.8020408163265306,0.42903930131004364,0.5590327169274538,0.769191494083203,393,97,523,1138
ed,ed_r1,0,0.2,"Transitional woodland, shrub",885,0.5636766334440753,0.5751412429378531,0.569351230425056,0.5822987090556795,509,394,376,872
ed,ed_r1,0,0.2,Urban fabric,265,0.6863905325443787,0.4377358490566038,0.5345622119815668,0.6005760401536338,116,53,149,1833
ed,ed_r1,0,0.4,Arable land,883,0.6768402154398564,0.853907134767837,0.7551326990485728,0.8365447073063434,754,360,129,908
ed,ed_r1,0,0.4,Broad-leaved forest,511,0.5810276679841897,0.2876712328767123,0.38481675392670156,0.5068159407232413,147,106,364,1534
ed,ed_r1,0,0.4,Complex cultivation patterns,1172,0.8001824817518248,0.7482935153583617,0.7733686067019401,0.8540813711157471,877,219,295,760
ed,ed_r1,0,0.4,Coniferous forest,1193,0.6680115273775216,0.9715004191114837,0.7916666666666666,0.9331197583679863,1159,576,34,382
ed,ed_r1,0,0.4,Inland waters,379,0.19724284199363734,0.9815303430079155,0.32847682119205296,0.7081839839442743,372,1514,7,258
