regime,arm,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
clean,optical,0,0.0,Arable land,883,0.7550802139037434,0.7995469988674971,0.7766776677667767,0.8570811360369978,706,229,177,1039
clean,optical,0,0.0,Broad-leaved forest,511,0.5253333333333333,0.38551859099804303,0.44469525959367945,0.5165459585569547,197,178,314,1462
clean,optical,0,0.0,Complex cultivation patterns,1172,0.7667402501839587,0.8890784982935154,0.8233899644409325,0.8598481235168374,1042,317,130,662
clean,optical,0,0.0,Coniferous forest,1193,0.9059500959692899,0.7912824811399832,0.8447427293064877,0.9436378377309635,944,98,249,860
clean,optical,0,0.0,Inland waters,379,0.8712121212121212,0.6068601583113457,0.7153965785381027,0.8444386776741355,230,34,149,1738
clean,optical,0,0.0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6854974704890388,0.8162650602409639,0.7451879010082493,0.7896792131473346,813,373,183,782
clean,optical,0,0.0,Marine waters,116,0.9508196721311475,1.0,0.9747899159663865,0.9999999999999997,116,6,0,2029
clean,optical,0,0.0,Mixed forest,1214,0.7370343316289262,0.8311367380560132,0.781262098335269,0.8411818061652485,1009,360,205,577
clean,optical,0,0.0,Pastures,916,0.6949352179034158,0.6441048034934498,0.6685552407932012,0.7630047178535497,590,259,326,976
clean,optical,0,0.0,"Transitional woodland, shrub",885,0.6101694915254238,0.3254237288135593,0.42446573323507736,0.5686611988519708,288,184,597,1082
clean,optical,0,0.0,Urban fabric,265,0.7045454545454546,0.35094339622641507,0.46851385390428213,0.5499414090928629,93,39,172,1847
clean,optical,0,0.2,Arable land,883,0.7092130518234165,0.8369195922989807,0.7677922077922078,0.8451630256105145,739,303,144,965
clean,optical,0,0.2,Broad-leaved forest,511,0.5949367088607594,0.2759295499021526,0.3770053475935829,0.5055385783538267,141,96,370,1544
clean,optical,0,0.2,Complex cultivation patterns,1172,0.7246770904146839,0.909556313993174,0.8066590995081347,0.8409498732113811,1066,405,106,574
clean,optical,0,0.2,Coniferous forest,1193,0.8310316815597075,0.8575020955574183,0.844059405940594,0.9377325348805878,1023,208,170,750
clean,optical,0,0.2,Inland waters,379,0.18612774451097805,0.9841688654353562,0.3130507763323542,0.46369005405478575,373,1631,6,141
clean,optical,0,0.2,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6742043551088778,0.8082329317269076,0.7351598173515982,0.7733460002430713,805,389,191,766
clean,optical,0,0.2,Marine waters,116,0.9354838709677419,1.0,0.9666666666666667,0.9999999999999997,116,8,0,2027
clean,optical,0,0.2,Mixed forest,1214,0.714190093708166,0.8789126853377265,0.7880354505169868,0.8437952981712658,1067,427,147,510
clean,optical,0,0.2,Pastures,916,0.7784313725490196,0.4334061135371179,0.5568022440392707,0.751857860938189,397,113,519,1122
clean,optical,0,0.2,"Transitional woodland, shrub",885,0.6222222222222222,0.031638418079096044,0.060215053763440864,0.567634477642811,28,17,857,1249
clean,optical,0,0.2,Urban fabric,265,0.678082191780822,0.37358490566037733,0.48175182481751827,0.564750235840104,99,47,166,1839
clean,optical,0,0.4,Arable land,883,0.704390243902439,0.8176670441676104,0.7568134171907757,0.8335107142644039,722,303,161,965
clean,optical,0,0.4,Broad-leaved forest,511,0.6454545454545455,0.13894324853228962,0.2286634460547504,0.4867705271303706,71,39,440,1601
clean,optical,0,0.4,Complex cultivation patterns,1172,0.7539184952978056,0.8208191126279863,0.7859477124183006,0.835217681644605,962,314,210,665
clean,optical,0,0.4,Coniferous forest,1193,0.802731411229135,0.8868398994132439,0.8426921545201115,0.9261009200534907,1058,260,135,698
clean,optical,0,0.4,Inland waters,379,0.1832098765432099,0.978891820580475,0.3086522462562396,0.23703677858505273,371,1654,8,118
clean,optical,0,0.4,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7612809315866085,0.5251004016064257,0.6215092097445039,0.7517952769723726,523,164,473,991
clean,optical,0,0.4,Marine waters,116,0.928,1.0,0.9626556016597511,0.9999999999999997,116,9,0,2026
clean,optical,0,0.4,Mixed forest,1214,0.6831200487507617,0.9233937397034596,0.7852889667250438,0.8376034981552032,1121,520,93,417
clean,optical,0,0.4,Pastures,916,0.9316239316239316,0.11899563318777293,0.2110358180058083,0.7510935685446914,109,8,807,1227
clean,optical,0,0.4,"Transitional woodland, shrub",885,1.0,0.0011299435028248588,0.002257336343115124,0.5537819846852006,1,0,884,1266
clean,optical,0,0.4,Urban fabric,265,0.7314814814814815,0.2981132075471698,0.42359249329758714,0.550930437073696,79,29,186,1857
clean,optical,0,0.6,Arable land,883,0.7383918459796149,0.7383918459796149,0.7383918459796149,0.8126617126464584,652,231,231,1037
clean,optical,0,0.6,Broad-leaved forest,511,0.9,0.01761252446183953,0.0345489443378119,0.47211123938925975,9,1,502,1639
clean,optical,0,0.6,Complex cultivation patterns,1172,0.8313609467455622,0.47952218430034127,0.6082251082251082,0.8196741271951917,562,114,610,865
clean,optical,0,0.6,Coniferous forest,1193,0.7394843962008141,0.9136630343671417,0.817397825271841,0.8995533808784026,1090,384,103,574
clean,optical,0,0.6,Inland waters,379,0.18100890207715134,0.9656992084432717,0.3048729695960017,0.17637075423735762,366,1656,13,116
clean,optical,0,0.6,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.9459459459459459,0.035140562248995984,0.06776379477250725,0.7264762161595311,35,2,961,1153
clean,optical,0,0.6,Marine waters,116,0.8656716417910447,1.0,0.928,0.9999999999999997,116,18,0,2017
clean,optical,0,0.6,Mixed forest,1214,0.6461111111111111,0.9579901153212521,0.7717319177173192,0.7988250956530021,1163,637,51,300
clean,optical,0,0.6,Pastures,916,1.0,0.001091703056768559,0.0021810250817884407,0.7113261811863755,1,0,915,1235
clean,optical,0,0.6,"Transitional woodland, shrub",885,0.0,0.0,0.0,0.5465730676390355,0,0,885,1266
clean,optical,0,0.6,Urban fabric,265,0.8723404255319149,0.15471698113207547,0.26282051282051283,0.4945171093952634,41,6,224,1880
clean,optical,0,0.8,Arable land,883,0.8426229508196721,0.29105322763306907,0.43265993265993263,0.7304735825616505,257,48,626,1220
clean,optical,0,0.8,Broad-leaved forest,511,0.0,0.0,0.0,0.4131152798392409,0,0,511,1640
clean,optical,0,0.8,Complex cultivation patterns,1172,1.0,0.0008532423208191126,0.0017050298380221654,0.7820454968150692,1,0,1171,979
clean,optical,0,0.8,Coniferous forest,1193,0.6691729323308271,0.8952221290863369,0.7658659017569022,0.8577132044461435,1068,528,125,430
