regime,masking_pct,class,support,f1_B,f1_C,sar_gain
clean,0,Arable land,883,0.7766776677667767,0.7584597432905484,-0.0182
clean,0,Broad-leaved forest,511,0.4446952595936794,0.4147794994040524,-0.0299
clean,0,Complex cultivation patterns,1172,0.8233899644409325,0.8055342044581092,-0.0179
clean,0,Coniferous forest,1193,0.8447427293064877,0.8502373759171342,0.0055
clean,0,Inland waters,379,0.7153965785381027,0.7050359712230215,-0.0104
clean,0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7451879010082493,0.7256069628950985,-0.0196
clean,0,Marine waters,116,0.9747899159663864,0.91699604743083,-0.0578
clean,0,Mixed forest,1214,0.781262098335269,0.7878566203365033,0.0066
clean,0,Pastures,916,0.6685552407932012,0.642603550295858,-0.026
clean,0,"Transitional woodland, shrub",885,0.4244657332350773,0.3280977312390924,-0.0964
clean,0,Urban fabric,265,0.4685138539042821,0.4785894206549118,0.0101
clean,20,Arable land,883,0.7677922077922078,0.7640692640692641,-0.0037
clean,20,Broad-leaved forest,511,0.3770053475935829,0.3380681818181818,-0.0389
clean,20,Complex cultivation patterns,1172,0.8066590995081347,0.8055342044581092,-0.0011
clean,20,Coniferous forest,1193,0.844059405940594,0.8429237947122862,-0.0011
clean,20,Inland waters,379,0.3130507763323542,0.7131578947368421,0.4001
clean,20,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7351598173515982,0.719923918212078,-0.0152
clean,20,Marine waters,116,0.9666666666666668,0.91699604743083,-0.0497
clean,20,Mixed forest,1214,0.7880354505169868,0.7889081455805893,0.0009
clean,20,Pastures,916,0.5568022440392707,0.5673854447439353,0.0106
clean,20,"Transitional woodland, shrub",885,0.0602150537634408,0.2900626678603402,0.2298
clean,20,Urban fabric,265,0.4817518248175182,0.4496124031007752,-0.0321
clean,40,Arable land,883,0.7568134171907757,0.7441860465116279,-0.0126
clean,40,Broad-leaved forest,511,0.2286634460547504,0.2394822006472491,0.0108
clean,40,Complex cultivation patterns,1172,0.7859477124183006,0.7924242424242425,0.0065
clean,40,Coniferous forest,1193,0.8426921545201115,0.7914774711840726,-0.0512
clean,40,Inland waters,379,0.3086522462562396,0.7144686299615877,0.4058
clean,40,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6215092097445039,0.7195301027900147,0.098
clean,40,Marine waters,116,0.9626556016597512,0.9133858267716536,-0.0493
clean,40,Mixed forest,1214,0.7852889667250438,0.7764471057884231,-0.0088
clean,40,Pastures,916,0.2110358180058083,0.5114560236511456,0.3004
clean,40,"Transitional woodland, shrub",885,0.0022573363431151,0.2538812785388127,0.2516
clean,40,Urban fabric,265,0.4235924932975871,0.427807486631016,0.0042
clean,60,Arable land,883,0.7383918459796149,0.7225994180407371,-0.0158
clean,60,Broad-leaved forest,511,0.0345489443378119,0.108695652173913,0.0741
clean,60,Complex cultivation patterns,1172,0.6082251082251082,0.7964071856287425,0.1882
clean,60,Coniferous forest,1193,0.817397825271841,0.753322528363047,-0.0641
clean,60,Inland waters,379,0.3048729695960017,0.7011349306431274,0.3963
clean,60,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.0677637947725072,0.6906105695228322,0.6228
clean,60,Marine waters,116,0.928,0.9098039215686274,-0.0182
clean,60,Mixed forest,1214,0.7717319177173192,0.7558851983231216,-0.0158
clean,60,Pastures,916,0.0021810250817884,0.3741496598639456,0.372
clean,60,"Transitional woodland, shrub",885,0.0,0.2126436781609195,0.2126
clean,60,Urban fabric,265,0.2628205128205128,0.4,0.1372
clean,80,Arable land,883,0.4326599326599326,0.688819039066008,0.2562
clean,80,Broad-leaved forest,511,0.0,0.0,0.0
clean,80,Complex cultivation patterns,1172,0.0017050298380221,0.7815095702419647,0.7798
clean,80,Coniferous forest,1193,0.7658659017569022,0.743992310157001,-0.0219
clean,80,Inland waters,379,0.2832544123977615,0.7022900763358778,0.419
clean,80,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.0,0.6634615384615384,0.6635
clean,80,Marine waters,116,0.6236559139784946,0.8923076923076924,0.2687
clean,80,Mixed forest,1214,0.7687766480813382,0.7522292993630574,-0.0165
clean,80,Pastures,916,0.0,0.1626984126984127,0.1627
clean,80,"Transitional woodland, shrub",885,0.0,0.0607375271149674,0.0607
clean,80,Urban fabric,265,0.0149253731343283,0.3509749303621169,0.336
clean,100,Arable land,883,0.0,0.0311111111111111,0.0311
clean,100,Broad-leaved forest,511,0.0,0.0,0.0
clean,100,Complex cultivation patterns,1172,0.0,0.565118912797282,0.5651
clean,100,Coniferous forest,1193,0.0,0.7479187479187479,0.7479
clean,100,Inland waters,379,0.0,0.605475040257649,0.6055
clean,100,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.0,0.0526315789473684,0.0526
clean,100,Marine waters,116,0.1023378914865461,0.8498168498168498,0.7475
clean,100,Mixed forest,1214,0.0,0.7554552294958615,0.7555
clean,100,Pastures,916,0.0,0.0,0.0
clean,100,"Transitional woodland, shrub",885,0.0,0.0266666666666666,0.0267
clean,100,Urban fabric,265,0.0,0.3908045977011494,0.3908
degraded,0,Arable land,883,0.775070821529745,0.749112426035503,-0.026
degraded,0,Broad-leaved forest,511,0.4639830508474576,0.4024691358024691,-0.0615
degraded,0,Complex cultivation patterns,1172,0.8259172521467604,0.7996900426191399,-0.0262
degraded,0,Coniferous forest,1193,0.8500881834215167,0.8437761069340016,-0.0063
degraded,0,Inland waters,379,0.5427509293680297,0.7106741573033708,0.1679
degraded,0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7297428432799612,0.7156208277703605,-0.0141
degraded,0,Marine waters,116,1.0,0.8888888888888888,-0.1111
degraded,0,Mixed forest,1214,0.7841342486651411,0.7879871290668573,0.0039
degraded,0,Pastures,916,0.668614845119813,0.6105006105006106,-0.0581
degraded,0,"Transitional woodland, shrub",885,0.4373177842565597,0.4183976261127596,-0.0189
degraded,0,Urban fabric,265,0.4988662131519274,0.3887323943661971,-0.1101
degraded,20,Arable land,883,0.7705286839145107,0.7428236672524897,-0.0277
degraded,20,Broad-leaved forest,511,0.4520396912899669,0.3772609819121447,-0.0748
degraded,20,Complex cultivation patterns,1172,0.825296442687747,0.7964257964257965,-0.0289
degraded,20,Coniferous forest,1193,0.8483535528596187,0.8383084577114428,-0.01
degraded,20,Inland waters,379,0.517304189435337,0.7078651685393258,0.1906
degraded,20,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7206396801599201,0.7154545454545455,-0.0052
degraded,20,Marine waters,116,0.9957081545064378,0.8923076923076924,-0.1034
degraded,20,Mixed forest,1214,0.7791505791505792,0.786589762076424,0.0074
degraded,20,Pastures,916,0.6406820950060901,0.5925,-0.0482
degraded,20,"Transitional woodland, shrub",885,0.46875,0.411854103343465,-0.0569
degraded,20,Urban fabric,265,0.4719626168224299,0.3796033994334277,-0.0924
degraded,40,Arable land,883,0.7523970671178793,0.7320799059929495,-0.0203
degraded,40,Broad-leaved forest,511,0.4461538461538462,0.3796178343949045,-0.0665
degraded,40,Complex cultivation patterns,1172,0.8168570303269004,0.7933177933177933,-0.0235
degraded,40,Coniferous forest,1193,0.8433523475208424,0.8359081419624217,-0.0074
degraded,40,Inland waters,379,0.5129151291512916,0.7088607594936709,0.1959
degraded,40,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7160616608652411,0.7132551848512173,-0.0028
degraded,40,Marine waters,116,0.9872340425531916,0.8923076923076924,-0.0949
degraded,40,Mixed forest,1214,0.771793878341728,0.7786589762076424,0.0069
degraded,40,Pastures,916,0.6457453228726614,0.5978868862647607,-0.0479
degraded,40,"Transitional woodland, shrub",885,0.4554865424430642,0.3835403726708074,-0.0719
degraded,40,Urban fabric,265,0.4476885644768856,0.3876404494382022,-0.06
