regime,masking_pct,A_optical_clean_ref,B_degraded_optical,B_std,C_degraded_plus_sar,C_std,sar_gain,sar_gain_seed_std,sar_gain_seed0,sar_gain_boot_lo,sar_gain_boot_hi,significant,control_fusion_shuffled_sar,D_sar_only
clean,0,0.7015,0.7015,0.0049,0.6916,0.0156,-0.0099,0.0129,-0.0231,-0.0314,-0.0152,True,0.6773,0.6087
clean,20,0.7015,0.6181,0.0116,0.6738,0.017,0.0557,0.0118,0.0454,0.0373,0.0533,True,0.5997,0.6087
clean,40,0.7015,0.5519,0.0122,0.6438,0.0157,0.092,0.0052,0.0869,0.077,0.0963,True,0.5448,0.6087
clean,60,0.7015,0.4329,0.0202,0.6068,0.02,0.1739,0.0135,0.1718,0.1619,0.1814,True,0.4781,0.6087
clean,80,0.7015,0.2835,0.027,0.5501,0.0199,0.2665,0.0221,0.2644,0.2547,0.274,True,0.244,0.6087
clean,100,0.7015,0.0093,0.0,0.3768,0.0192,0.3675,0.0192,0.3566,0.3481,0.3652,True,0.0094,0.6087
degraded,0,0.6902,0.6902,0.008,0.6771,0.017,-0.0131,0.0232,-0.0237,-0.0345,-0.0135,True,0.6042,0.611
degraded,20,0.6902,0.6829,0.0112,0.6706,0.0167,-0.0122,0.0255,-0.0227,-0.0337,-0.0123,True,0.5862,0.611
degraded,40,0.6902,0.6734,0.0105,0.6667,0.017,-0.0067,0.0258,-0.0175,-0.0282,-0.0065,True,0.5768,0.611
degraded,60,0.6902,0.6573,0.0064,0.6595,0.0182,0.0022,0.0224,-0.0046,-0.0153,0.0058,False,0.5518,0.611
degraded,80,0.6902,0.603,0.005,0.6403,0.015,0.0373,0.0197,0.0285,0.0165,0.0396,True,0.4957,0.611
degraded,100,0.6902,0.0093,0.0,0.4642,0.0134,0.4549,0.0134,0.4547,0.4451,0.4639,True,0.0138,0.611
