patch_id,s1_name,split,tile,row,col,labels
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_61_54,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_61_54,test,T34UDG,61,54,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_61_55,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_61_55,test,T34UDG,61,55,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_61_56,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_61_56,test,T34UDG,61,56,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_62_52,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_62_52,test,T34UDG,62,52,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_62_53,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_62_53,test,T34UDG,62,53,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_62_54,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_62_54,test,T34UDG,62,54,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_62_55,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_62_55,test,T34UDG,62,55,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_62_56,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_62_56,test,T34UDG,62,56,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_63_50,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_63_50,test,T34UDG,63,50,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_63_51,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_63_51,test,T34UDG,63,51,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_63_52,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_63_52,test,T34UDG,63,52,Marine waters
