regime,masking_pct,optical_mean,optical_std,fusion_mean,fusion_std,ed_mean,ed_std,fusion_shuf_mean,fusion_shuf_std,sar_mean,sar_std,C_minus_B,C_minus_B_seed_std,ED_minus_B,ED_minus_B_seed_std,ED_minus_C,ED_minus_C_seed_std,EDres_minus_C,EDres_minus_C_seed_std,C_minus_B_boot_lo,C_minus_B_boot_hi,C_minus_B_significant,ED_minus_B_boot_lo,ED_minus_B_boot_hi,ED_minus_B_significant,ED_minus_C_boot_lo,ED_minus_C_boot_hi,ED_minus_C_significant,ed_residual_mean,ed_residual_std
clean,0,0.7015,0.0049,0.6916,0.0156,0.7136,0.0059,0.6773,0.0067,0.6087,0.0042,-0.0099,0.0129,0.0121,0.0103,0.022,0.0172,,,-0.0314,-0.0152,True,0.0122,0.025,True,0.0337,0.0499,True,,
clean,20,0.6181,0.0116,0.6738,0.017,0.6644,0.0132,0.5997,0.0192,0.6087,0.0042,0.0557,0.0118,0.0463,0.0173,-0.0095,0.0276,,,0.0373,0.0533,True,0.0605,0.0725,True,0.0116,0.03,True,,
clean,40,0.5519,0.0122,0.6438,0.0157,0.6259,0.0227,0.5448,0.0258,0.6087,0.0042,0.092,0.0052,0.0741,0.0278,-0.0179,0.033,,,0.077,0.0963,True,0.0942,0.1091,True,0.0061,0.0242,True,,
clean,60,0.4329,0.0202,0.6068,0.02,0.5883,0.0316,0.4781,0.0101,0.6087,0.0042,0.1739,0.0135,0.1554,0.0489,-0.0186,0.0406,,,0.1619,0.1814,True,0.1809,0.1988,True,0.0087,0.0265,True,,
clean,80,0.2835,0.027,0.5501,0.0199,0.487,0.0337,0.244,0.0141,0.6087,0.0042,0.2665,0.0221,0.2035,0.0589,-0.063,0.0416,,,0.2547,0.274,True,0.2243,0.2431,True,-0.0409,-0.0211,True,,
clean,100,0.0093,0.0,0.3768,0.0192,0.0802,0.0497,0.0094,0.0002,0.6087,0.0042,0.3675,0.0192,0.0709,0.0497,-0.2966,0.0686,,,0.3481,0.3652,True,0.0839,0.0959,True,-0.2765,-0.2573,True,,
degraded,0,0.6902,0.008,0.6771,0.017,0.6932,0.0062,0.6042,0.0263,0.611,0.0093,-0.0131,0.0232,0.003,0.01,0.016,0.0132,0.0212,0.0217,-0.0345,-0.0135,True,-0.01,0.0048,False,0.0131,0.0298,True,0.6983,0.0048
degraded,20,0.6829,0.0112,0.6706,0.0167,0.686,0.0047,0.5862,0.0305,0.611,0.0093,-0.0122,0.0255,0.0031,0.0109,0.0153,0.0146,0.0203,0.0231,-0.0337,-0.0123,True,-0.008,0.0072,False,0.0145,0.031,True,0.6909,0.0064
degraded,40,0.6734,0.0105,0.6667,0.017,0.6802,0.0041,0.5768,0.0299,0.611,0.0093,-0.0067,0.0258,0.0068,0.0111,0.0135,0.0147,0.0145,0.0253,-0.0282,-0.0065,True,-0.0046,0.0105,False,0.0129,0.0288,True,0.6813,0.0083
degraded,60,0.6573,0.0064,0.6595,0.0182,0.6689,0.0006,0.5518,0.0276,0.611,0.0093,0.0022,0.0224,0.0116,0.007,0.0095,0.0181,0.0055,0.0254,-0.0153,0.0058,False,0.008,0.0229,True,0.0119,0.0289,True,0.665,0.0074
degraded,80,0.603,0.005,0.6403,0.015,0.6343,0.0057,0.4957,0.0264,0.611,0.0093,0.0373,0.0197,0.0313,0.0035,-0.006,0.0205,-0.028,0.03,0.0165,0.0396,True,0.0266,0.0434,True,-0.0021,0.0158,False,0.6123,0.0151
degraded,100,0.0093,0.0,0.4642,0.0134,0.1839,0.0742,0.0138,0.0081,0.611,0.0093,0.4549,0.0134,0.1746,0.0742,-0.2803,0.0812,-0.4549,0.0134,0.4451,0.4639,True,0.2424,0.2591,True,-0.2125,-0.1947,True,0.0093,0.0
